index,id,release_date,production_budget,worldwide_gross,genre_ids
For Your Consideration,15,2006,12000000,5549923,[]
For Your Eyes Only,49,1981,28000000,195300000,
"For a Good Time, Call",48,2012,850000,1386088,
Force 10 from Navarone,27,1978,5000000,7100000,
Foreign Letters,33,2012,40000,0,[]
Forever My Girl,98,2018,3500000,16376066,"[10749, 18, 10402]"
Forget Me Not,44,2011,1300000,13465,
Forgetting Sarah Marshall,76,2008,30000000,105173042,
Formula 51,13,2002,27000000,5204007,
Forrest Gump,82,1994,55000000,679850637,
Forsaken,54,2016,18000000,0,"[18, 37]"
Forsaken,54,2016,18000000,0,[27]
Forsaken,54,2016,18000000,0,[53]
Fort McCoy,49,2014,3000000,78948,"[10752, 18, 36]"
Fortress,13,1993,12000000,46730578,"[28, 10752]"
Forty Shades of Blue,3,2005,1500000,172569,
Four Brothers,67,2005,30000000,92494381,
Four Christmases,54,2008,80000000,168311558,
Four Lions,79,2010,3750000,2436111,"[35, 80, 18]"
Four Rooms,12,1995,4000000,4301000,
Four Single Fathers,71,2009,3000000,0,
Four Weddings and a Funeral,25,1994,4500000,242895809,
Frailty,95,2002,11000000,19947280,
Frances Ha,14,2013,3000000,11262769,"[35, 18]"
Frances Ha,14,2013,3000000,11262769,"[35, 18]"
Frankenstein,3,1994,45000000,112006296,"[27, 53]"
Frankenweenie,48,2012,39000000,81150788,"[16, 35, 10751]"
Frat Party,4,2009,1000000,0,
Freakonomics,80,2010,2900000,172867,[99]
Freaks of Nature,83,2015,33000000,70958,"[878, 35, 27]"
Freaks of Nature,83,2015,33000000,70958,"[878, 35, 27]"
Freaky Deaky,94,2011,6000000,0,[35]
Freaky Friday,21,2003,26000000,160822438,"[10402, 10751, 14, 10770, 35]"
Freddy Got Fingered,83,2001,15000000,14249005,
Freddy vs. Jason,73,2003,25000000,114576403,
Freddyâs Dead: The Final Nightmare,68,1991,5000000,34872033,
Free Birds,16,2013,55000000,110387072,"[16, 35, 10751]"
Free Fire,83,2017,10000000,3793739,"[28, 80, 9648]"
Free State of Jones,81,2016,50000000,23237252,"[28, 18, 36, 10752]"
Free Style,14,2009,10000000,721108,
Free Willy,8,1993,20000000,153698625,
Freedom,69,2015,14500000,872757,
Freedom Writers,68,2007,21000000,43632609,
Freeheld,51,2015,7000000,1732228,"[10749, 18]"
Freeway,40,1996,3000000,295493,
Freeze Frame,78,2004,2000000,105377,
Frenzy,2,1972,3500000,12600000,"[27, 53, 10770]"
Frequency,31,2000,31000000,68079671,"[80, 18, 878, 53]"
Frida,78,2002,12000000,56131239,
Friday,93,1995,3500000,27936778,
Friday After Next,72,2002,10000000,33526835,
Friday Night Lights,77,2004,30000000,61950770,
Friday the 13th,74,2009,17000000,92670237,
Friday the 13th,25,1980,550000,59754601,
Friday the 13th Part 2,48,1981,1250000,21722776,
Friday the 13th Part 3,70,1982,2250000,36690067,
Friday the 13th Part IV: The Final Chapter,2,1984,2600000,32980880,
Friday the 13th Part V: A New Beginning,72,1985,2200000,21930418,
Friday the 13th Part VI: Jason Lives,79,1986,3000000,19472057,
Friday the 13th Part VII: The New Blood,87,1988,2800000,19170001,
Friday the 13th Part VIII: Jason Takes Manhattan,2,1989,5000000,14343976,
Fried Green Tomatoes,70,1991,11000000,81204830,
Friend Request,48,2017,9900000,11310835,[53]
Friends with Benefits,55,2011,35000000,146595891,"[10749, 35]"
Friends with Money,92,2006,6500000,18110152,
Fright Night,58,2011,30000000,40520649,"[27, 35]"
From Dusk Till Dawn,77,1996,20000000,25732986,"[27, 28, 53, 80]"
From Hell,88,2001,35000000,68712365,
From Here to Eternity,49,1953,1650000,30500000,
From Justin to Kelly,17,2003,12000000,4922166,
From Paris With Love,75,2010,52000000,53139168,
From Russia With Love,88,1964,2000000,78900000,
Frontera,63,2014,2300000,59696,"[37, 18]"
Frost/Nixon,24,2008,29000000,28452945,
Frozen,56,2013,150000000,1272469910,[53]
Frozen,56,2013,150000000,1272469910,"[16, 12, 10751]"
Frozen River,44,2008,1000000,6030129,
Fruitvale Station,38,2013,900000,17549645,[18]
Fuel,35,2008,2500000,174255,
Fugly,56,2014,4500000,0,
Full Frontal,24,2002,2000000,3438804,
Full Metal Jacket,2,1987,30000000,45015999,
Fun Size,10,2012,14000000,11166615,[35]
Fun With Dick And Jane,15,2005,140000000,203018919,
Funny Games,36,2008,15000000,8200127,
Funny Ha Ha,40,2005,30000,82698,
Funny People,82,2009,72500000,71880305,
Furious 7,67,2015,190000000,1518722794,"[28, 80, 53]"
Furry Vengeance,17,2010,35000000,39340177,"[35, 10751]"
Fury,68,2014,80000000,210315681,"[10752, 18, 28]"
G-Force,85,2009,150000000,292817841,
G.I. Jane,39,1997,50000000,48169156,
G.I. Joe: Retaliation,13,2013,140000000,375740705,"[12, 28, 878, 53]"
G.I. Joe: The Rise of Cobra,6,2009,175000000,302469017,
Gabriela,17,2001,50000,2335352,
Gake no ue no Ponyo,63,2009,34000000,205312666,
Galaxina,24,1980,5500000,4865000,
Galaxy Quest,69,1999,45000000,90523726,
Gallipoli,7,1981,3000000,5732587,
Game Night,94,2018,37000000,117378084,"[9648, 35, 80]"
Gamer,82,2009,50000000,42002029,
Gandhi,14,1982,22000000,127767889,
"Gandhi, My Father",67,2007,5000000,2015004,
Gangs of New York,11,2002,97000000,183124621,
Gangster Squad,4,2013,60000000,104100903,"[80, 18, 28, 53]"
Garden State,15,2004,2500000,36028802,
Garfield: A Tail of Two Kitties,30,2006,60000000,147985373,
Garfield: The Movie,16,2004,50000000,208094550,
Gattaca,18,1997,36000000,12532777,
Genghis Khan: To the Ends of the Earth and Sea,4,2008,30000000,4874498,
Genius,10,2016,17000000,7265283,"[18, 36]"
Gentleman's Agreement,3,1947,2000000,7800000,
Gentlemen Broncos,58,2009,9500000,119955,
Geograf globus propil,55,2013,4000000,4454853,
George A. Romero's Land of the Dead,56,2005,18975000,47751015,
George A. Romero's Survival of the Dead,72,2010,4200000,101740,
George Balanchine\'s The Nutcracker,53,2011,19000000,2119994,
George Of The Jungle,93,1997,55000000,174463257,
George Washington,28,2000,42000,342722,
George and the Dragon,19,2004,32000000,0,
Georgia Rule,98,2007,20000000,20819601,
Geostorm,99,2017,100000000,220796009,"[28, 878, 53]"
Geostorm,99,2017,100000000,220796009,"[28, 878, 53]"
Geroy,65,2015,7000000,1545121,
Gerry,56,2003,7000000,719699,
Get Carter,3,2000,40000000,19417182,
Get Hard,97,2015,40000000,106511453,[35]
Get Him to the Greek,22,2010,40000000,91455875,[35]
Get Low,23,2010,7000000,10828305,"[35, 18, 9648]"
Get Out,49,2017,5000000,255367951,"[35, 16]"
Get Out,49,2017,5000000,255367951,"[9648, 53, 27]"
Get Over It,30,2001,10000000,19860259,
Get Real,38,1999,2000000,1152411,
Get Rich or Die Tryin',74,2005,40000000,46666955,
Get Shorty,35,1995,30250000,115021008,
Get Smart,50,2008,80000000,226739416,
Get on Up,35,2014,30000000,33339868,"[18, 10402]"
Get on the Bus,53,1996,2400000,5691854,
Getaway,20,2013,18000000,11813989,"[28, 80]"
Gettysburg,86,1993,25000000,10731997,[99]
Ghost,5,1990,22000000,517600000,
Ghost Dog: The Way of the Samurai,22,2000,2000000,10672492,
Ghost Rider,89,2007,120000000,229545589,
Ghost Rider: Spirit of Vengeance,73,2012,57000000,149217355,"[28, 14, 53]"
Ghost Ship,66,2002,20000000,68349884,
Ghost Town,31,2008,20000000,29958228,
Ghost World,22,2001,5500000,8761608,
Ghost in the Shell,40,2017,110000000,167910690,"[28, 878, 53, 18]"
Ghostbusters,4,2016,144000000,229008658,"[28, 14, 35]"
Ghostbusters,36,1984,30000000,295212467,"[28, 14, 35]"
Ghosts of Mississippi,17,1996,36000000,13052741,
Gifted,4,2017,7000000,36964656,"[18, 10751, 35]"
Gigli,55,2003,54000000,7126002,
Girl 6,19,1996,12000000,4880941,
Girl with a Pearl Earring,2,2003,12000000,43274797,
"Girl, Interrupted",50,1999,24000000,28871190,
Girlhouse,14,2015,1500000,0,
Girls Gone Dead,74,2012,500000,0,"[27, 35]"
Girls Trip,36,2017,28000000,140886353,[35]
Give Me Shelter,1,2015,250000,0,[99]
Gladiator,56,2000,103000000,457683805,
Glass,100,2019,20000000,245303505,
Glee: The 3D Concert Movie,90,2011,9000000,17462398,
Glengarry Glen Ross,24,1992,12500000,10725228,
Glitter,46,2001,8500000,4273372,
Gloria,91,1999,30000000,4967493,"[35, 18]"
Glory,96,1989,18000000,26593580,
Glory Road,7,2006,30000000,42799060,
Gnomeo and Juliet,6,2011,36000000,193737977,
Go For It!,52,2011,2450000,182358,
Go!,91,1999,6500000,28383441,
Goal! The Dream Begins,81,2006,33000000,27610873,
God's Army,42,2000,300000,2652515,
Gods and Generals,40,2003,55000000,12923936,
Gods and Monsters,7,1998,3500000,6451628,
Gods of Egypt,18,2016,140000000,138836756,"[28, 12, 14, 878]"
Godsend,69,2004,30000000,16910708,
Godzilla,41,2014,160000000,529076069,"[28, 18, 878]"
Godzilla,74,1998,125000000,376000000,"[28, 18, 878]"
Godzilla 2000,24,2000,1000000,10037390,
Godzilla: King of the Monsters,25,2019,170000000,299276941,
Godâs Not Dead,90,2014,1150000,63777092,
Godâs Not Dead 2,85,2016,5000000,23551286,
Going Under,85,1990,500000,0,
Going in Style,40,2017,24000000,78672579,"[80, 35]"
Going the Distance,11,2010,32000000,43603990,"[35, 18, 10749]"
Goldeneye,53,1995,60000000,356429941,
Goldfinger,68,1964,3000000,124900000,
Gomorra,11,2009,6200000,37339594,
Gone Girl,36,2014,61000000,368567189,"[9648, 53, 18]"
Gone in 60 Seconds,55,2000,103300000,232643008,
Gone with the Wind,68,1939,3900000,390525192,
"Gone, Baby, Gone",42,2007,19000000,34352162,
Good,78,2008,16000000,31631,
Good Boy!,84,2003,17000000,45312217,
"Good Bye, Lenin!",6,2004,6400000,79384539,
Good Dick,30,2008,200000,52443,
Good Intentions,43,2009,10000000,0,[35]
Good Luck Chuck,22,2007,25000000,59183821,
Good Morning Vietnam,45,1987,13000000,123922370,
"Good Night, and Good Luck",98,2005,7000000,56586901,
Good Will Hunting,37,1997,10000000,225925989,[18]
Goodbye Bafana,10,2007,30000000,2717302,
Goodfellas,1,1990,25000000,46777347,
Goosebumps,58,2015,58000000,158905324,"[12, 27, 35]"
Goosebumps,58,2015,58000000,158905324,"[12, 27, 35]"
Goosebumps 2: Haunted Halloween,63,2018,35000000,93291478,"[12, 35, 14, 10751, 27]"
Gory Gory Hallelujah,6,2005,425000,12604,
Gosford Park,88,2001,18000000,41300105,
Gossip,14,2000,14000000,12591270,
Gothika,23,2003,40000000,141484812,
Gotti,64,2018,10000000,6089100,"[80, 18, 36, 53]"
Grabbers,38,2013,5300000,440821,"[878, 35, 53, 27, 9648]"
Grace,80,2009,5000000,8297,"[53, 27]"
Grace,80,2009,5000000,8297,[18]
Grace,80,2009,5000000,8297,[35]
Grace Unplugged,43,2013,1700000,2507159,"[18, 10402]"
Grace of Monaco,8,2015,30000000,25199891,"[10749, 18]"
Gracie,2,2007,9000000,3922043,
Graduation Day,69,1981,250000,23894000,[]
Gran Torino,65,2008,25000000,274543085,
Grand Theft Parsons,82,2004,1200000,0,
Grandmaâs Boy,32,2006,5000000,6590172,
Grave Encounters,76,2011,2000000,2151887,"[53, 27]"
Gravity,16,2013,110000000,693698673,"[878, 53, 18]"
Grease,13,1978,6000000,387510179,
Greater,4,2016,9000000,2000093,"[10751, 18]"
Green Book,71,2018,23000000,322034439,"[18, 35]"
Green Lantern,62,2011,200000000,219535492,"[12, 28, 53, 878]"
Green Room,46,2016,5000000,3807503,"[27, 80, 53]"
Green Room,46,2016,5000000,3807503,"[27, 80, 53]"
Green Street Hooligans: Underground,44,2015,8000000,0,"[28, 18]"
Green Zone,98,2010,100000000,97523020,"[10752, 28, 12, 18, 53]"
Gremlins,66,1984,11000000,148199515,
Gremlins 2: The New Batch,47,1990,50000000,41476097,
Gridiron Gang,18,2006,30000000,41457834,
Griff the Invisible,81,2011,2900000,25935,"[10749, 35, 18]"
Griffin & Phoenix,70,2006,500000,1355967,
Grindhouse,64,2007,53000000,50187789,
Grip: A Criminal's Story,64,2006,12000,1336,
Groove,41,2000,500000,1167524,
Grosse Pointe Blank,55,1997,15000000,31070412,
Groundhog Day,65,1993,14600000,70906973,
Growing up Smith,63,2017,2000000,35312,
Grown Ups,34,2010,75000000,272223430,[35]
Grown Ups 2,48,2013,80000000,247023808,[35]
Grudge Match,77,2013,40000000,69807260,[35]
Guardians of the Galaxy,14,2014,170000000,770867516,"[28, 878, 12]"
Guardians of the Galaxy Vol 2,49,2017,200000000,862316233,
Guess Who,44,2005,35000000,102115888,
Guiana 1838,75,2004,1000000,227241,
Gulliver's Travels,13,2010,112000000,232017848,"[35, 12, 10751, 14]"
Gun Shy,86,2000,10000000,1638202,"[35, 28, 12]"
Gunless,49,2010,9900000,458054,
"Guten Tag, Ramon",39,2015,4000000,4854356,
Gwoemul,25,2007,12000000,92618117,
H.,42,2014,200000,0,"[53, 18, 878]"
Haakon Haakonsen,40,1991,8500000,15024232,
Hachiko: A Dog's Story,81,2010,16000000,47707417,
Hacksaw Ridge,17,2016,40000000,168904682,"[18, 36, 10752]"
Hacksaw Ridge,17,2016,40000000,168904682,"[18, 36, 10752]"
Haeundae,80,2010,16000000,64733391,
Haevnen,28,2011,5500000,15867314,
"Hail, Caesar!",22,2016,22000000,64160680,"[35, 18, 9648]"
Hairspray,40,2007,75000000,203035572,
Half Baked,89,1998,8000000,17394881,
Half Nelson,91,2006,700000,4911725,
Half Past Dead,62,2002,25000000,19233280,
Hall Pass,57,2011,68000000,87173475,"[35, 10749]"
Halloween,15,2007,15000000,77514401,"[53, 27]"
Halloween,36,2018,10000000,254900667,"[53, 27]"
Halloween,37,1978,325000,70000000,"[53, 27]"
Halloween 2,43,2009,15000000,38512850,
Halloween 3: Season of the Witch,18,1982,2500000,14400000,
Halloween 4: The Return of Michael Myers,93,1988,5000000,17768757,
Halloween 5: The Revenge of Michael Myers,45,1989,6000000,11642254,
Halloween II,17,1981,2500000,25533818,
Halloween: H2O,76,1998,17000000,55041738,
Halloween: Resurrection,48,2002,15000000,37659652,
Halloween: The Curse of Michael Myers,98,1995,5000000,15126948,
Hamlet,32,1996,18000000,7129670,
Hamlet,34,2000,2000000,2419669,
Hamlet 2,97,2008,9000000,4934104,
Hancock,63,2008,150000000,624234272,
Hands of Stone,74,2016,20000000,5031975,[18]
Hang 'em High,22,1968,1800000,6800000,
Hanging Up,63,2000,40000000,51867723,
Hanna,14,2011,30000000,65343694,"[28, 53, 12]"
Hannah Montana the Movie,62,2009,30000000,169173206,
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,85,2008,6500000,70712099,
Hannibal,86,2001,87000000,350100280,
Hannibal Rising,66,2007,50000000,80583311,
Hannibal the Conqueror,6,2020,50000000,0,
Hansel & Gretel Get Baked,55,2013,4500000,0,
Hansel & Gretel: Witch Hunters,27,2013,50000000,214949716,"[14, 27, 28]"
Happily N'Ever After,38,2007,47000000,37923818,
Happiness,26,1998,3000000,5746453,[99]
Happy 40th,36,2014,35000,0,[18]
Happy Christmas,4,2014,70000,30312,"[35, 18]"
Happy Death Day,58,2017,5000000,125010260,"[27, 9648, 53]"
Happy Death Day 2U,78,2019,9000000,64179495,
Happy Feet,89,2006,85000000,385000317,
Happy Feet Two,33,2011,135000000,157956466,"[16, 35, 10751]"
Happy Gilmore,60,1996,10000000,41004412,
Happy Valley,83,2008,250000,67665,[99]
"Happy, Texas",44,1999,1700000,2891228,
Hard Candy,28,2006,950000,8267066,
Hard Rain,39,1998,70000000,19870567,
Hardball,66,2001,21000000,43728560,
Hardcore Henry,100,2016,2000000,17187434,"[28, 12, 878]"
Hardflip,81,2012,1000000,96734,"[18, 28]"
Harlem Nights,78,1989,30000000,95857262,
Harley Davidson and the Marlboro Man,93,1991,23000000,7018525,
Harold & Kumar Escape from Guantanamo Bay,64,2008,12000000,43353117,
Harold & Kumar Go to White Castle,82,2004,9000000,18225165,
Harper,3,1966,3500000,12000000,
Harriet the Spy,69,1996,13000000,26570048,
Harrison Montgomery,53,2008,850000,0,
Harry Brown,81,2010,7300000,12023606,"[53, 80, 18, 28]"
Harry Potter and the Chamber of Secrets,64,2002,100000000,879225135,
Harry Potter and the Deathly Hallows: Part I,64,2010,125000000,960431568,
Harry Potter and the Deathly Hallows: Part II,61,2011,125000000,1341693157,
Harry Potter and the Goblet of Fire,59,2005,150000000,897099794,
Harry Potter and the Half-Blood Prince,20,2009,250000000,935213767,
Harry Potter and the Order of the Phoenix,58,2007,150000000,943076457,
Harry Potter and the Prisoner of Azkaban,39,2004,130000000,796907323,
Harry Potter and the Sorcererâs Stone,63,2001,125000000,975047606,
Harsh Times,21,2006,2000000,6225304,
Hart's War,40,2002,70000000,33076815,
Harvard Man,30,2002,5500000,56653,
Hatchet,95,2007,1500000,240396,
Hauru no ugoku shiro,62,2005,24000000,237814327,
Hav Plenty,99,1998,650000,2301777,
Hawaii,38,1966,15000000,34562222,
Hayride,13,2012,60000,0,"[53, 27]"
Haywire,83,2012,23000000,36374700,"[28, 53, 9648]"
He Got Game,49,1998,25000000,22411948,
He's Just Not That Into You,93,2009,40000000,181053657,
Head Over Heels,9,2001,14000000,10397365,
Head of State,23,2003,35200000,38283765,
Heartbeeps,58,1981,10000000,6000000,
Heartbreakers,67,2001,38000000,57753825,
Hearts Beat Loud,25,2018,2000000,2420962,"[18, 10402, 35]"
Hearts in Atlantis,32,2001,31000000,30885781,
Heaven Can Wait,4,1978,15000000,98800000,
Heaven is for Real,46,2014,12000000,100916299,[18]
Heaven's Gate,34,1980,44000000,3484523,
Heavenly Creatures,48,1994,5000000,5438120,
Heavy Metal,63,1981,9300000,19571091,
Hedwig and the Angry Inch,65,2001,6000000,3740030,
Heist,4,2001,35000000,28906817,"[28, 80]"
Heist,4,2001,35000000,28906817,"[80, 28, 53]"
Heist,25,2015,8900000,3324131,"[28, 80]"
Heist,25,2015,8900000,3324131,"[80, 28, 53]"
Held Up,4,2000,8000000,4714090,[35]
Heli,100,2013,1000000,552614,"[80, 18, 10749]"
Hell Fest,20,2018,5500000,18119231,[27]
Hell or High Water,77,2016,12000000,37584304,"[80, 18, 53, 37]"
Hell's Angels,60,1930,4000000,0,
Hellboy,84,2004,60000000,99823958,
Hellboy,77,2019,50000000,40725492,
Hellboy II: The Golden Army,32,2008,82500000,160388063,"[12, 14]"
"Hello, Dolly",45,1969,24000000,33208099,
"Hello, My Name is Doris",22,2016,1000000,14662703,
Hellraiser,21,1987,1000000,14575148,
Henry & Me,91,2014,5000000,0,"[10751, 16]"
Henry Joseph Church,46,2015,8000000,0,
Henry V,91,1989,9000000,10176701,
Her,80,2014,23000000,48163815,"[10749, 878, 18]"
Her,80,2014,23000000,48163815,"[10749, 878, 18]"
Her Cry: La Llorona Investigation,35,2013,35000,0,[27]
Herbie: Fully Loaded,22,2005,50000000,144110682,
Hercules,84,2014,100000000,243388614,"[28, 12]"
Hercules,8,1997,70000000,250700000,"[28, 12]"
Here Comes the Boom,52,2012,42000000,73239258,"[28, 35]"
Here on Earth,98,2000,15000000,10845127,
Hereafter,61,2010,50000000,108660270,"[18, 14]"
Hereditary,56,2018,10000000,70133905,"[27, 9648, 53]"
Hero,63,1992,42000000,66787173,[]
Hero,63,1992,42000000,66787173,"[10749, 28, 18]"
Hero,63,1992,42000000,66787173,[]
Heroes,12,2008,400000,655538,
Heroes of Dirt,50,2015,175000,0,
Hesher,54,2011,7000000,382946,[18]
Hevi reissu,75,2018,3800000,10153,"[35, 10402]"
Hey Arnold! The Movie,25,2002,10000000,13684949,
Hidalgo,15,2004,78000000,108086731,
Hidden Away,14,2014,1000000,0,
Hidden Figures,64,2016,25000000,231771716,"[18, 36]"
Hidden Figures,64,2016,25000000,231771716,"[18, 36]"
Hide and Seek,96,2005,25000000,123696741,"[10749, 18]"
High Anxiety,36,1977,3400000,31063038,
High Crimes,53,2002,42000000,63781100,
High Fidelity,71,2000,20000000,47881663,
High Heels and Low Lifes,9,2001,10000000,226792,
High Noon,88,1952,730000,8000000,
High Plains Drifter,19,1973,5500000,15700000,
High Road,28,2012,546173,0,[35]
High School,15,2012,10000000,248133,[35]
High School,15,2012,10000000,248133,[35]
High School Musical,74,2006,4200000,0,
High School Musical 2,68,2007,7000000,0,
High School Musical 3: Senior Year,69,2008,11000000,274392880,
High Tension,83,2005,2850000,6435262,
Higher Ground,25,2011,1800000,842693,"[18, 53]"
Higher Power,67,2018,500000,528,"[28, 878, 53]"
Highlander,64,1986,16000000,12900000,
Highlander: Endgame,89,2000,15000000,12801190,
Highlander: The Final Dimension,47,1995,26000000,13738574,
Highway,89,2012,2000000,0,[]
Hillaryâs America: The Secret History of the Democratic Party,8,2016,5000000,13099931,
History of the World: Part I,82,1981,11000000,31672000,
Hit & Run,37,2012,22000000,17216955,"[28, 35, 10749]"
Hitch,85,2005,55000000,366784257,
Hitman,44,2007,24000000,99135571,
Hitman: Agent 47,8,2015,35000000,82182803,"[28, 80, 53]"
Hits,88,2015,1000000,15156,"[18, 35]"
Hobo with a Shotgun,33,2011,3000000,834953,"[80, 28, 53]"
Hocus Pocus,58,1993,28000000,39360491,
Hodejegerne,40,2012,5250000,20188740,"[53, 80]"
Hoffa,5,1992,35000000,28391473,
Holes,13,2003,20000000,71232214,
Hollow Man,62,2000,90000000,191200000,
Holly,45,2007,3000000,163069,
Hollywood Ending,66,2002,16000000,14839383,
Hollywood Homicide,65,2003,75000000,50409753,
Hollywood Shuffle,83,1987,100000,5228617,
Holmes & Watson,58,2018,42000000,41926605,"[9648, 12, 35, 80]"
Holy Man,44,1998,60000000,12069719,
Holy Motors,25,2012,4000000,4230426,"[18, 14]"
Home,44,2015,130000000,385997896,[]
Home,44,2015,130000000,385997896,"[14, 35, 16, 878, 10751]"
Home,44,2015,130000000,385997896,[]
Home,44,2015,130000000,385997896,"[27, 18, 10751]"
Home,44,2015,130000000,385997896,[18]
Home,44,2015,130000000,385997896,[878]
Home,56,2009,12000000,0,[]
Home,56,2009,12000000,0,"[14, 35, 16, 878, 10751]"
Home,56,2009,12000000,0,[]
Home,56,2009,12000000,0,"[27, 18, 10751]"
Home,56,2009,12000000,0,[18]
Home,56,2009,12000000,0,[878]
Home,60,2009,500000,44793168,[]
Home,60,2009,500000,44793168,"[14, 35, 16, 878, 10751]"
Home,60,2009,500000,44793168,[]
Home,60,2009,500000,44793168,"[27, 18, 10751]"
Home,60,2009,500000,44793168,[18]
Home,60,2009,500000,44793168,[878]
Home Again,57,2017,15000000,37336874,"[35, 18, 10749]"
Home Alone,92,1990,15000000,476684675,
Home Alone 2: Lost in New York,89,1992,20000000,358994850,
Home Fries,97,1998,15000000,10513979,
Home Movies,16,1980,400000,89134,"[99, 10749]"
Home Run,66,2013,1200000,2859955,[18]
Home for the Holidays,6,1995,20000000,22119269,
Home on the Range,37,2004,110000000,76482461,
Homefront,29,2013,22000000,51695362,"[28, 53]"
Honey,92,2003,18000000,62646763,
Hoodwinked,60,2006,17500000,109843390,
Hoodwinked Too: Hood vs. Evil,79,2011,30000000,23353111,
Hook,2,1991,70000000,300854823,
Hoop Dreams,89,1994,700000,11768371,
Hoot,11,2006,15000000,8224998,
Hop,27,2011,63000000,188657593,"[16, 35, 10751]"
Hope Floats,80,1998,30000000,81529000,
Hope Springs,75,2012,30000000,133085295,"[18, 35, 10749]"
Horrible Bosses,34,2011,35000000,212417601,"[35, 80]"
Horrible Bosses 2,31,2014,40000000,105945357,[35]
Horse Camp,100,2014,250000,0,"[10751, 18]"
Horse Camp,100,2014,250000,0,"[10751, 18]"
Horton Hears a Who,94,2008,85000000,299477886,
Hostage,63,2005,75000000,77636443,"[18, 27]"
Hostel,7,2006,4800000,82241110,
Hostel: Part II,58,2007,7500000,33606409,
Hot Fuzz,46,2007,16000000,81742618,
Hot Pursuit,79,2015,35000000,45671512,"[28, 35, 80]"
Hot Rod,73,2007,25000000,14334401,
Hot Tub Time Machine,10,2010,36000000,65967750,"[878, 35, 12]"
Hot Tub Time Machine 2,7,2015,14000000,12826644,[35]
Hotel Artemis,15,2018,15000000,12758799,"[53, 878, 28]"
Hotel Rwanda,61,2004,17500000,36521223,
Hotel Transylvania,96,2012,85000000,378505812,"[16, 35, 10751, 14]"
Hotel Transylvania 2,42,2015,80000000,469500298,"[16, 35, 10751, 14]"
Hotel Transylvania 3: Summer Vacation,77,2018,65000000,527079962,"[10751, 14, 35, 16]"
Hotel for Dogs,43,2009,35000000,122357172,
House Party 2,88,1991,5000000,19438638,
House at the End of the Drive,28,2014,1400000,0,"[53, 27]"
House at the End of the Street,73,2012,6900000,44103982,"[27, 53]"
"House of 1,000 Corpses",19,2003,7000000,17005466,
House of D,47,2005,2000000,466106,
House of Flying Daggers,5,2004,12000000,92863945,
House of Sand and Fog,24,2003,16500000,16157923,
House of Wax,87,2005,35000000,70064800,
House of Wax,98,1953,658000,23800000,
House of the Dead,21,2003,7000000,13860078,
House on Haunted Hill,35,1999,19000000,65090541,
Housebound,7,2014,1500000,236863,"[27, 35, 53]"
Housefull,34,2010,10100000,18726300,
How Do You Know?,1,2010,120000000,49628177,
How Green Was My Valley,55,1941,1250000,0,
How High,73,2001,12000000,31222395,
How She Move,2,2008,17000000,8607815,
How Stella Got Her Groove Back,45,1998,20000000,37672944,
How the Grinch Stole Christmas,83,2000,123000000,345141403,
How to Be a Latin Lover,75,2017,10000000,62556228,[35]
How to Deal,56,2003,16000000,14108518,
How to Fall in Love,66,2012,4000000,0,"[35, 10749, 10770]"
How to Lose Friends & Alienate People,80,2008,28000000,12031443,
How to Lose a Guy in 10 Days,98,2003,50000000,178890782,
How to Train Your Dragon,30,2010,165000000,494870992,"[14, 12, 16, 10751]"
How to Train Your Dragon 2,99,2014,145000000,614586270,"[14, 28, 12, 16, 35, 10751]"
How to Train Your Dragon: The Hidden World,56,2019,129000000,519258283,
How to be Single,98,2016,37000000,100003780,
Howard the Duck,66,1986,30000000,16295774,
Howards End,77,1992,8000000,26317943,"[18, 10749]"
Hross i oss,28,2015,10000000,11894,
Hud,21,1963,2500000,10000000,
Hudson Hawk,15,1991,65000000,17218916,
Hugo,89,2011,180000000,180047784,"[12, 18, 10751]"
Hulk,23,2003,137000000,245075434,
Hum to Mohabbt Karega,53,2000,2000000,121807,
Human Traffic,46,2000,3300000,5422740,
Hunt for the Wilderpeople,25,2016,2500000,23845533,"[12, 35, 18]"
Hurricane Streets,46,1998,500000,367582,
Hush,22,2016,1000000,0,[27]
Hush,22,2016,1000000,0,"[27, 53]"
Hustle & Flow,86,2005,2800000,23591783,
Hybrid,26,2002,200000,162605,
I Am Not Your Negro,32,2017,1000000,9617402,[99]
I Am Sam,18,2001,22000000,92542418,
I Am Wrath,50,2016,18000000,309608,"[28, 80, 18, 53]"
I Can Do Bad All By Myself,31,2009,19000000,51733921,
I Can Only Imagine,90,2018,7000000,85604221,"[18, 10751, 10402]"
I Come with the Rain,49,2008,18000000,627422,
I Don't Know How She Does It,58,2011,24000000,24474463,"[10749, 35]"
I Dreamed of Africa,67,2000,34000000,14291999,
I Feel Pretty,99,2018,32000000,91553797,[35]
I Got the Hook-Up!,4,1998,3500000,10317779,
I Heart Huckabees,39,2004,22000000,20034713,
I Hope They Serve Beer in Hell,46,2009,7000000,1429453,
I Know What You Did Last Summer,70,1997,17000000,125250091,
I Love You â¦ Don't Touch Me!,8,1998,68000,33598,
"I Love You, Beth Cooper",15,2009,18000000,16382538,
"I Love You, Man",12,2009,40000000,92302502,[35]
"I Love You, Phillip Morris",2,2010,13000000,23014027,
I Love Your Work,61,2005,1600000,3264,
I Married a Strange Person,80,1998,250000,203134,
